"","Graduating.Class","Fall.Freshman.Year","District","District.Name","Graduates","Total.Cohort","Graduation.Rate","Graduation.Rate.Category"
"129",2015,2011,6983,"West Lyon",50,54,92.6,"90.1 - 100%"
"130",2009,2005,3154,"Iowa Valley",54,56,96.4,"90.1 - 100%"
"131",2014,2010,1062,"Center Point-Urbana",94,103,91.3,"90.1 - 100%"
"132",2014,2010,4509,"Morning Sun",14,17,82.4,"80.1 - 90%"
"133",2014,2010,2682,"GMG",38,39,97.4,"90.1 - 100%"
"134",2015,2011,1963,"East Buchanan",32,35,91.4,"90.1 - 100%"
"135",2010,2006,3348,"Kingsley-Pierson",42,44,95.5,"90.1 - 100%"
"136",2012,2008,2826,"Harlan",104,110,94.6,"90.1 - 100%"
"137",2010,2006,6615,"Van Meter",52,52,100,"90.1 - 100%"
"138",2016,2012,472,"Ballard",110,117,94,"90.1 - 100%"
"139",2013,2009,5325,"Prairie Valley",57,61,93.4,"90.1 - 100%"
"140",2014,2010,3186,"Janesville",39,39,100,"90.1 - 100%"
"141",2012,2008,1926,"Durant",46,54,85.2,"80.1 - 90%"
"142",2012,2008,7038,"Wilton",64,72,88.9,"80.1 - 90%"
"143",2014,2010,2088,"Emmetsburg",60,66,90.9,"90.1 - 100%"
"144",2013,2009,3204,"Jesup",44,46,95.7,"90.1 - 100%"
"145",2012,2008,4778,"North Kossuth",24,25,96,"90.1 - 100%"
"146",2013,2009,1970,"East Union",30,32,93.8,"90.1 - 100%"
"147",2011,2007,1082,"Central DeWitt",135,149,90.6,"90.1 - 100%"
"148",2017,2013,4725,"Newton",172,195,88.2,"80.1 - 90%"
"149",2014,2010,4212,"Melcher-Dallas",14,16,87.5,"80.1 - 90%"
"150",2015,2011,873,"North Iowa",33,35,94.3,"90.1 - 100%"
"151",2010,2006,27,"Adel-DeSoto-Minburn",103,111,92.8,"90.1 - 100%"
"152",2012,2008,2097,"English Valleys",32,34,94.1,"90.1 - 100%"
"153",2017,2013,5163,"Pekin",48,49,98,"90.1 - 100%"
"154",2011,2007,4797,"Norwalk",180,186,96.8,"90.1 - 100%"
"155",2017,2013,1602,"Danville",47,49,95.9,"90.1 - 100%"
"156",2017,2013,3841,"Louisa-Muscatine",51,57,89.5,"80.1 - 90%"
"157",2014,2010,513,"Baxter",33,33,100,"90.1 - 100%"
