County,AEA,District,District.Name,Graduation.Year,Diploma.Count,Private.4-Year.College,Public.4-Year.College,Private.2-Year.College,Community.College,Other.Training,Employment,Homemaker,Military,Unknown
8,11,6561,United,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,11,6579,Urbandale,2012,277,44,92,100,0,7,16,0,10,8
33,1,6591,Valley,2012,45,8,17,15,0,0,0,0,4,1
89,15,6592,Van Buren,2012,33,2,7,16,0,0,0,0,2,6
25,11,6615,Van Meter,2012,44,9,17,11,0,2,2,0,0,3
17,7,6633,Ventura,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,13,6651,Villisca,2012,27,2,8,12,0,0,3,0,1,1
6,10,6660,Vinton-Shellsburg,2012,120,13,21,46,1,1,19,1,6,12
44,15,6700,Waco,2012,34,3,7,18,2,0,1,0,2,1
81,5,6741,East Sac County,2012,63,3,13,28,4,0,14,1,0,0
78,13,6750,Walnut,2012,11,0,1,8,0,0,1,0,1,0
58,15,6759,Wapello,2012,57,4,11,28,0,2,7,1,3,1
9,7,6762,Wapsie Valley,2012,42,10,11,17,0,0,4,0,0,0
92,10,6768,Washington,2012,117,6,37,42,0,5,10,0,8,9
7,7,6795,Waterloo,2012,558,26,160,165,10,10,23,3,26,135
25,11,6822,Waukee,2012,379,55,186,75,9,4,39,0,9,2
9,7,6840,Waverly-Shell Rock,2012,172,39,50,61,1,3,11,0,6,1
93,15,6854,Wayne,2012,38,5,5,12,0,1,14,0,1,0
40,5,6867,Webster City,2012,130,9,24,68,1,0,25,0,3,0
74,5,6921,West Bend-Mallard,2012,28,1,6,13,1,1,5,0,0,1
16,10,6930,West Branch,2012,65,13,22,21,0,0,5,0,3,1
29,15,6937,West Burlington Ind,2012,42,3,8,27,0,1,3,0,0,0
33,1,6943,West Central,2012,23,10,4,7,1,0,0,0,0,1
28,1,6950,West Delaware County,2012,129,20,37,37,1,1,13,0,2,18
77,11,6957,West Des Moines,2012,638,83,292,174,4,16,34,0,17,18
31,1,6961,Western Dubuque,2012,282,52,92,79,0,5,8,0,3,43
43,13,6969,West Harrison,2012,42,3,11,17,0,1,8,0,1,1
70,9,6975,West Liberty,2012,77,8,17,38,2,1,8,0,3,0
60,12,6983,West Lyon,2012,45,6,12,16,0,0,4,0,4,3
